Transaction Description,Amount Debit,Amount Credit,Balance,Category
Straight Talk,0.0,64.99,1064.99,Mobile Phone
Amazon Grocery Delivery,105.0,0.0,895.0,Groceries
Denny's,0.0,26.0,1026.0,Restaurant
Brew & Co Seattle WA,17.99,0.0,982.01,Coffee
CommonBond Auto Pay,0.0,290.0,1290.0,Student Loan
Auto Pay - Chase,0.0,250.0,1150.0,Credit Card
City Water,0.0,45.0,1045.0,Utilities Water
Coastal Water,0.0,54.0,1054.0,Utilities Water
Apple Music Subscription,0.0,12.99,1012.99,Subscription
The Cheesecake Factory,0.0,85.0,1085.0,Restaurant
BP Gas - Austin TX,37.5,0.0,962.5,Gas
Costco Vancouver BC,140.0,0.0,860.0,Groceries
Utilities Electric - Duke Energy,0.0,80.0,1080.0,Utilities Electric
Earnest,0.0,255.0,1255.0,Student Loan
Panda Express,0.0,35.0,1035.0,Restaurant
Kroger Cincinnati OH,75.0,0.0,925.0,Groceries
WA-Mart Super Cent Chicago IL,120.0,0.0,880.0,Groceries
Comcast Xfinity,0.0,80.0,1080.0,Utilities Home Internet
Student Loan - Private,0.0,300.0,1300.0,Student Loan
T-Mobile Refund,0.0,10.0,1090.0,Mobile Phone
Netflix + Disney Bundle,0.0,29.99,1029.99,Subscription
ERCOT Utilities,0.0,70.0,1070.0,Utilities Electric
ShopRite New Jersey NJ,70.0,0.0,930.0,Groceries
Visa Auto Payment,0.0,300.0,1100.0,Credit Card
Pacific Water,0.0,48.0,1048.0,Utilities Water
OGE Energy,0.0,69.0,1069.0,Utilities Electric
Starbucks Austin TX,19.99,0.0,980.01,Coffee
Cafe Nero New York NY,15.75,0.0,984.25,Coffee
Marathon Gas - Phoenix AZ,40.0,0.0,960.0,Gas
Zomato - Dinner,0.0,22.0,1022.0,Misc
River Valley Water,0.0,49.0,1049.0,Utilities Water
Verizon Fios,0.0,75.0,1075.0,Utilities Home Internet
AT&T U-verse,0.0,65.0,1065.0,Utilities Home Internet
Blue Bottle Coffee San Francisco CA,24.5,0.0,975.5,Coffee
Spectrum,0.0,69.0,1069.0,Utilities Home Internet
T-Mobile,0.0,70.0,1070.0,Utilities Home Internet
Circle K - Seattle WA,34.0,0.0,966.0,Gas
Discover Auto Payment,0.0,260.0,1260.0,Credit Card
Eastside Auto Payment,0.0,1190.0,2190.0,Rent - Mortgage
PECO Utilities,0.0,71.0,1071.0,Utilities Electric
Adobe Creative Cloud,0.0,24.99,1024.99,Subscription
Amazon Prime Membership,0.0,12.0,1012.0,Misc
Credible Auto Payment,0.0,265.0,1265.0,Student Loan
Southern California Edison,0.0,68.0,1068.0,Utilities Electric
The French Laundry,0.0,120.0,10120.0,Restaurant
Walmart Supercenter - Dallas TX,125.0,0.0,875.0,Groceries
Bank of America Credit Card,0.0,170.0,1130.0,Credit Card
Spectrum Mobile,0.0,68.99,1068.99,Mobile Phone
Federal Loan Auto Payment,0.0,250.0,1250.0,Student Loan
Trader Joe's Portland OR,65.0,0.0,935.0,Groceries
SoFi Auto Payment,0.0,240.0,1240.0,Student Loan
Metro PCS,0.0,69.99,1069.99,Mobile Phone
